"date","open","high","low","close","volume","oi"
01/03/2014,183000,183050,183000,183050,924000,1
01/03/2014,183025,183050,183025,183025,833000,1
01/03/2014,183025,183075,183025,183075,493000,1
01/03/2014,183075,183100,183075,183075,2428000,1
01/03/2014,183075,183100,183050,183075,795000,1
01/03/2014,183075,183100,183075,183100,1043000,1
01/03/2014,183100,183100,183075,183100,518000,1
01/03/2014,183100,183100,183050,183050,776000,0
01/03/2014,183050,183075,183025,183050,1283000,0
01/03/2014,183050,183050,183000,183025,872000,0
01/03/2014,183025,183100,183025,183100,1623000,1
01/03/2014,183100,183150,183075,183125,1596000,1
01/03/2014,183125,183150,183050,183075,2667000,1
01/03/2014,183050,183075,183025,183050,1015000,0
01/03/2014,183050,183075,183025,183050,635000,0
01/03/2014,183050,183050,183025,183050,80000,0
01/03/2014,183050,183050,182975,182975,1011000,0
01/03/2014,182975,183000,182950,182975,373000,0
01/03/2014,182975,182975,182875,182900,1853000,0
01/03/2014,182900,182900,182750,182750,3808000,0
01/03/2014,182750,182825,182750,182825,2075000,0
01/03/2014,182825,182825,182775,182800,1876000,0
01/03/2014,182800,182825,182775,182800,607000,0
01/03/2014,182800,182825,182775,182825,1032000,0
01/03/2014,182825,182825,182800,182825,783000,0
01/03/2014,182825,182850,182800,182850,478000,1
01/03/2014,182850,182850,182800,182800,1184000,1
01/03/2014,182825,182825,182775,182775,1468000,1
01/03/2014,182775,182800,182750,182750,3297000,0
01/03/2014,182775,182775,182650,182650,3241000,0
01/03/2014,182650,182700,182600,182650,3325000,0
01/03/2014,182650,182650,182600,182625,1980000,0
01/03/2014,182600,182675,182600,182650,3603000,0
01/03/2014,182650,182650,182600,182625,465000,0
01/03/2014,182625,182675,182625,182650,2609000,0
01/03/2014,182650,182650,182625,182625,483000,0
01/03/2014,182650,182650,182575,182600,1449000,0
01/03/2014,182600,182600,182550,182575,2424000,0
01/03/2014,182575,182625,182575,182600,2101000,0
01/03/2014,182600,182625,182550,182600,2076000,0
01/03/2014,182600,182650,182575,182650,2854000,1
01/03/2014,182650,182650,182600,182625,1037000,1
01/03/2014,182625,182625,182575,182575,1592000,1
01/03/2014,182575,182625,182575,182575,1349000,1
01/03/2014,182575,182625,182575,182600,829000,1
01/03/2014,182600,182625,182575,182600,397000,1
01/03/2014,182600,182625,182575,182575,2205000,1
01/03/2014,182575,182600,182575,182600,230000,1
01/03/2014,182600,182600,182550,182550,138000,0
01/03/2014,182550,182550,182500,182550,3010000,0
01/03/2014,182550,182550,182450,182475,3288000,0
01/03/2014,182500,182525,182475,182500,3243000,0
01/03/2014,182500,182550,182475,182550,1395000,0
01/03/2014,182525,182550,182525,182525,1559000,1
01/03/2014,182525,182550,182500,182500,424000,1
01/03/2014,182475,182550,182475,182525,664000,1
01/03/2014,182525,182550,182500,182525,1699000,1
01/03/2014,182525,182550,182475,182500,2318000,1
01/03/2014,182500,182500,182425,182425,1140000,0
01/03/2014,182425,182475,182425,182425,912000,0
01/03/2014,182425,182450,182375,182400,3733000,0
01/03/2014,182400,182450,182400,182425,2608000,0
01/03/2014,182450,182450,182400,182400,258000,0
01/03/2014,182400,182450,182375,182400,1721000,0
01/03/2014,182375,182400,182375,182400,806000,0
01/03/2014,182400,182400,182350,182400,1301000,0
01/03/2014,182400,182400,182375,182400,761000,0
01/03/2014,182400,182400,182350,182375,615000,0
01/03/2014,182375,182425,182325,182325,4142000,0
01/03/2014,182325,182375,182325,182375,1055000,0
01/03/2014,182375,182450,182375,182425,2203000,1
01/03/2014,182425,182450,182400,182450,790000,1
01/03/2014,182425,182475,182425,182475,2039000,1
01/03/2014,182475,182500,182450,182500,1077000,1
01/03/2014,182500,182500,182450,182450,1182000,1
01/03/2014,182450,182500,182450,182500,674000,1
01/03/2014,182500,182500,182425,182450,431000,1
01/03/2014,182450,182475,182425,182425,1016000,0
01/03/2014,182425,182500,182425,182475,2082000,1
01/03/2014,182475,182500,182450,182475,371000,1
01/03/2014,182475,182475,182450,182450,118000,1
01/03/2014,182450,182475,182450,182475,123000,1
01/03/2014,182450,182475,182450,182475,39000,1
01/03/2014,182475,182500,182475,182500,977000,1
01/03/2014,182500,182500,182475,182500,178000,1
01/03/2014,182475,182525,182475,182525,452000,1
01/03/2014,182525,182525,182500,182500,1298000,1
01/03/2014,182500,182575,182500,182550,1511000,1
01/03/2014,182550,182550,182525,182525,47000,1
01/03/2014,182525,182550,182500,182550,1603000,1
01/03/2014,182550,182575,182525,182575,504000,1
01/03/2014,182575,182575,182550,182550,146000,1
01/03/2014,182550,182600,182550,182600,189000,1
01/03/2014,182600,182600,182550,182550,1518000,1
01/03/2014,182550,182575,182525,182575,1084000,0
01/03/2014,182575,182575,182550,182550,23000,0
01/03/2014,182550,182575,182550,182550,52000,0
01/03/2014,182550,182625,182550,182600,1734000,1
01/03/2014,182600,182600,182575,182600,1073000,1
01/03/2014,182625,182650,182600,182650,1168000,1
01/03/2014,182650,182650,182625,182625,1433000,1
01/03/2014,182625,182650,182625,182625,223000,1
01/03/2014,182625,182675,182625,182675,1055000,1
01/03/2014,182675,182675,182625,182650,1113000,1
01/03/2014,182650,182675,182625,182650,328000,1
01/03/2014,182650,182675,182625,182650,340000,1
01/03/2014,182650,182650,182625,182625,299000,0
01/03/2014,182625,182675,182625,182675,1225000,1
01/03/2014,182675,182675,182650,182650,356000,1
01/03/2014,182650,182675,182625,182650,722000,0
01/03/2014,182650,182675,182625,182650,1624000,1
01/03/2014,182650,182675,182650,182650,167000,1
01/03/2014,182650,182675,182650,182675,156000,1
01/03/2014,182675,182675,182650,182675,812000,1
01/03/2014,182675,182675,182650,182650,951000,1
01/03/2014,182650,182675,182650,182650,23000,1
01/03/2014,182650,182650,182625,182650,153000,0
01/03/2014,182650,182650,182625,182650,87000,0
01/03/2014,182650,182650,182600,182600,653000,0
01/03/2014,182575,182575,182550,182550,1412000,0
01/03/2014,182550,182575,182550,182550,530000,0
01/03/2014,182550,182575,182525,182550,848000,0
01/03/2014,182550,182575,182550,182550,521000,0
01/03/2014,182550,182575,182525,182525,909000,0
01/03/2014,182525,182575,182525,182550,703000,0
01/03/2014,182550,182550,182525,182525,240000,0
01/03/2014,182525,182550,182525,182525,380000,0
01/03/2014,182525,182550,182525,182550,112000,0
01/03/2014,182550,182575,182525,182550,380000,1
01/03/2014,182575,182600,182550,182575,1306000,1
01/03/2014,182575,182600,182575,182600,110000,1
01/03/2014,182600,182600,182575,182600,327000,1
01/03/2014,182600,182600,182575,182600,22000,1
01/03/2014,182600,182600,182575,182600,46000,1
01/03/2014,182575,182600,182575,182575,75000,1
01/03/2014,182575,182575,182550,182550,1343000,0
01/03/2014,182550,182575,182550,182550,126000,0
01/03/2014,182550,182575,182525,182525,809000,0
01/03/2014,182525,182550,182525,182525,154000,0
01/03/2014,182525,182550,182500,182500,168000,0
01/03/2014,182500,182525,182475,182475,2115000,0
01/03/2014,182475,182575,182475,182550,819000,1
01/03/2014,182550,182575,182550,182575,1454000,1
01/03/2014,182575,182575,182500,182525,464000,1
01/03/2014,182525,182550,182500,182525,81000,1
01/03/2014,182525,182575,182525,182575,128000,1
01/03/2014,182575,182600,182550,182600,527000,1
01/03/2014,182600,182625,182575,182625,1046000,1
01/03/2014,182625,182650,182575,182625,2532000,1
01/03/2014,182625,182625,182575,182575,373000,1
01/03/2014,182575,182600,182575,182575,2000,0
01/03/2014,182575,182575,182550,182575,110000,0
01/03/2014,182550,182575,182475,182475,1187000,0
01/03/2014,182475,182475,182425,182425,1907000,0
01/03/2014,182425,182475,182425,182450,1534000,0
01/03/2014,182450,182450,182425,182425,448000,0
01/03/2014,182450,182475,182400,182425,762000,0
01/03/2014,182425,182450,182425,182425,422000,0
01/03/2014,182425,182450,182425,182425,110000,0
01/03/2014,182425,182450,182425,182425,124000,0
01/03/2014,182425,182500,182425,182500,409000,1
01/03/2014,182500,182500,182475,182500,109000,1
01/03/2014,182475,182500,182450,182475,738000,1
01/03/2014,182475,182475,182425,182450,282000,1
01/03/2014,182450,182450,182400,182400,55000,0
01/03/2014,182425,182425,182375,182375,180000,0
01/03/2014,182375,182475,182375,182475,1530000,0
01/03/2014,182475,182475,182425,182425,161000,1
01/03/2014,182425,182450,182425,182425,64000,1
01/03/2014,182425,182475,182425,182475,533000,1
01/03/2014,182475,182500,182475,182500,320000,1
01/03/2014,182500,182500,182475,182500,310000,1
01/03/2014,182500,182500,182475,182500,138000,1
01/03/2014,182500,182550,182500,182525,404000,1
01/03/2014,182525,182550,182500,182525,593000,1
01/03/2014,182525,182550,182500,182550,363000,1
01/03/2014,182525,182550,182525,182550,586000,1
01/03/2014,182550,182550,182525,182525,370000,1
01/03/2014,182525,182550,182500,182525,318000,0
01/03/2014,182500,182550,182500,182550,902000,1
01/03/2014,182525,182550,182500,182525,233000,0
01/03/2014,182525,182525,182500,182500,552000,0
01/03/2014,182500,182600,182500,182525,1176000,1
01/03/2014,182525,182550,182525,182525,943000,1
01/03/2014,182525,182600,182525,182600,487000,1
01/03/2014,182600,182600,182525,182525,1961000,1
01/03/2014,182525,182625,182525,182625,1105000,1
01/03/2014,182625,182625,182575,182575,1114000,1
01/03/2014,182575,182575,182550,182575,272000,1
01/03/2014,182575,182575,182525,182525,877000,0
01/03/2014,182525,182550,182525,182550,177000,0
01/03/2014,182550,182550,182500,182525,775000,0
01/03/2014,182500,182525,182500,182525,612000,0
01/03/2014,182525,182525,182475,182500,1042000,0
01/03/2014,182500,182525,182475,182500,388000,0
01/03/2014,182500,182550,182500,182550,435000,0
01/03/2014,182550,182600,182525,182600,1183000,1
01/03/2014,182600,182625,182575,182575,963000,1
01/03/2014,182575,182600,182550,182575,543000,1
01/03/2014,182575,182600,182575,182575,149000,1
01/03/2014,182575,182600,182575,182600,934000,1
01/03/2014,182600,182600,182575,182575,330000,1
01/03/2014,182575,182575,182550,182575,307000,1
01/03/2014,182575,182600,182550,182550,827000,0
01/03/2014,182550,182575,182550,182575,507000,0
01/03/2014,182575,182600,182550,182575,349000,0
01/03/2014,182575,182600,182575,182600,240000,0
01/03/2014,182600,182600,182575,182575,307000,0
01/03/2014,182575,182600,182575,182600,938000,0
01/03/2014,182600,182600,182575,182600,89000,0
01/03/2014,182600,182600,182550,182575,326000,0
01/03/2014,182575,182600,182550,182575,337000,0
01/03/2014,182575,182675,182575,182650,2973000,1
01/03/2014,182650,182650,182575,182600,596000,1
01/03/2014,182600,182600,182525,182550,2478000,0
01/03/2014,182550,182575,182550,182575,749000,0
01/03/2014,182575,182600,182550,182550,1680000,0
01/03/2014,182550,182625,182550,182600,889000,0
01/03/2014,182600,182625,182575,182625,842000,0
01/03/2014,182625,182625,182600,182625,537000,0
01/03/2014,182625,182650,182625,182650,782000,0
01/03/2014,182650,182650,182625,182650,1300000,0
01/03/2014,182650,182650,182625,182650,143000,0
01/03/2014,182650,182675,182625,182650,989000,1
01/03/2014,182650,182700,182650,182700,2214000,1
01/03/2014,182675,182700,182675,182675,2680000,1
01/03/2014,182675,182750,182675,182725,1861000,1
01/03/2014,182750,182750,182725,182750,1643000,1
01/03/2014,182725,182825,182725,182800,3042000,1
01/03/2014,182800,182875,182800,182875,2807000,1
01/03/2014,182875,182900,182850,182900,1343000,1
01/03/2014,182900,182925,182875,182925,1004000,1
01/03/2014,182925,182925,182900,182925,1511000,1
01/03/2014,182925,183000,182900,182975,2935000,1
01/03/2014,182975,183000,182975,183000,3501000,1
01/03/2014,183000,183000,182975,183000,1794000,1
01/03/2014,183000,183000,182975,183000,1686000,1
01/03/2014,183000,183000,182925,182925,1418000,0
01/03/2014,182925,182950,182900,182925,690000,0
01/03/2014,182925,182950,182900,182925,1287000,0
01/03/2014,182900,182925,182875,182900,1161000,0
01/03/2014,182900,182925,182875,182900,1011000,0
01/03/2014,182900,182900,182875,182875,679000,0
01/03/2014,182875,182925,182875,182900,447000,0
01/03/2014,182900,182900,182850,182875,734000,0
01/03/2014,182875,182900,182850,182875,474000,0
01/03/2014,182875,182900,182875,182875,486000,0
01/03/2014,182875,182900,182875,182900,114000,1
01/03/2014,182900,182900,182850,182875,955000,0
01/03/2014,182875,182875,182825,182850,592000,0
01/03/2014,182850,182850,182825,182850,141000,0
01/03/2014,182850,182925,182825,182875,1368000,1
01/03/2014,182900,183050,182875,183025,1625000,1
01/03/2014,183025,183050,183000,183000,3373000,1
01/03/2014,183000,183175,183000,183150,4738000,1
01/03/2014,183150,183200,183125,183125,1882000,1
01/03/2014,183125,183150,183100,183100,630000,1
01/03/2014,183125,183125,183050,183100,1032000,1
01/03/2014,183100,183125,183075,183100,624000,1
01/03/2014,183100,183125,183100,183125,1366000,1
01/03/2014,183125,183125,183100,183100,353000,0
01/03/2014,183100,183125,183075,183100,383000,0
01/03/2014,183100,183100,183075,183075,1023000,0
01/03/2014,183075,183075,183050,183075,907000,0
01/03/2014,183075,183075,183050,183050,329000,0
01/03/2014,183050,183100,183050,183075,131000,0
01/03/2014,183075,183125,183075,183075,1286000,0
01/03/2014,183075,183100,183050,183075,630000,0
01/03/2014,183075,183075,183050,183050,543000,0
01/03/2014,183050,183075,183000,183025,1034000,0
01/03/2014,183000,183050,182975,183025,2148000,0
01/03/2014,183025,183050,183000,183050,358000,0
01/03/2014,183025,183075,183000,183025,1594000,1
01/03/2014,183025,183075,183000,183050,784000,1
01/03/2014,183050,183100,183050,183100,789000,1
01/03/2014,183075,183125,183075,183125,853000,1
01/03/2014,183125,183125,183075,183075,1541000,1
01/03/2014,183075,183100,183050,183100,729000,1
01/03/2014,183100,183125,183075,183100,830000,1
01/03/2014,183125,183125,183050,183050,903000,0
01/03/2014,183050,183075,183050,183050,1106000,0
01/03/2014,183075,183075,183025,183025,690000,0
01/03/2014,183025,183025,182900,182900,5104000,0
01/03/2014,182900,182925,182850,182875,2983000,0
01/03/2014,182875,182900,182825,182875,3618000,0
01/03/2014,182875,182875,182800,182825,1341000,0
01/03/2014,182825,182900,182800,182900,1696000,0
01/03/2014,182875,182875,182800,182800,671000,0
01/03/2014,182800,182850,182800,182850,4691000,0
01/03/2014,182850,182875,182825,182850,1240000,0
01/03/2014,182875,182875,182825,182850,511000,1
01/03/2014,182875,182875,182825,182850,1289000,1
01/03/2014,182825,182850,182775,182800,2896000,0
01/03/2014,182800,182800,182700,182700,2790000,0
01/03/2014,182700,182725,182675,182700,3152000,0
01/03/2014,182700,182700,182625,182650,3171000,0
01/03/2014,182650,182675,182650,182650,2984000,0
01/03/2014,182650,182675,182625,182650,3016000,0
01/03/2014,182675,182675,182600,182650,1829000,0
01/03/2014,182650,182675,182625,182625,2957000,0
01/03/2014,182650,182650,182525,182550,3321000,0
01/03/2014,182525,182575,182450,182450,5497000,0
01/03/2014,182500,182575,182500,182575,8045000,0
01/03/2014,182550,182625,182550,182575,6033000,1
01/03/2014,182600,182600,182550,182575,3906000,1
01/03/2014,182575,182575,182550,182575,819000,1
01/03/2014,182575,182575,182525,182550,1778000,1
01/03/2014,182550,182575,182500,182525,2413000,1
01/03/2014,182525,182525,182500,182525,949000,1
01/03/2014,182525,182525,182475,182500,729000,1
