"date","open","high","low","close","volume","oi"
01/03/2014,182950,183300,182325,182425,568160,0
01/05/2014,182525,182525,182500,182525,81,0
01/06/2014,182475,182500,181925,182350,133292,0
01/07/2014,182350,183425,182250,183275,396930,0
01/08/2014,183275,183475,182550,183125,513448,0
01/09/2014,183325,183900,182425,183350,948718,0
01/10/2014,183525,184225,182625,183350,937134,0
01/12/2014,183350,183400,183250,183350,5098,0
01/13/2014,183350,183825,180950,181500,919009,0
01/14/2014,181500,183425,181375,183275,1019178,0
01/15/2014,183275,184550,183200,184350,899956,0
01/16/2014,184350,184350,183450,183725,677358,0
01/17/2014,184200,184250,182925,183175,718756,0
01/19/2014,183375,183425,183375,183400,491,0
01/20/2014,183375,184200,183075,184200,58582,0
01/21/2014,184200,184400,182650,184050,832952,0
01/22/2014,184050,184325,182875,183225,724880,0
01/23/2014,183225,183725,181375,182375,1174952,0
01/24/2014,182150,182550,178125,178150,1566034,0
01/27/2014,178575,179200,176700,178075,1654398,0
01/28/2014,178075,179950,177550,179750,1099933,0
01/29/2014,179775,179975,176425,177150,1462286,0
01/30/2014,177675,179375,177325,177725,1074791,0
01/31/2014,177725,178825,176125,177775,1448663,0
02/02/2014,178100,178100,177975,178025,637,0
02/03/2014,178050,178225,173225,174075,1697359,0
02/04/2014,174075,175350,173400,173950,1376735,0
02/05/2014,173950,175050,173200,174775,1235089,0
02/06/2014,174775,176975,174425,176650,1137675,0
02/07/2014,176750,179400,175825,179325,1405686,0
02/10/2014,179250,179550,178650,179475,805509,0
02/11/2014,180100,181950,179500,181250,1199658,0
02/12/2014,181400,182325,181200,181675,954082,0
02/13/2014,181250,182700,180225,182575,803284,0
02/14/2014,181875,183875,181875,183500,872688,0
02/18/2014,183875,183975,183625,183925,141429,0
02/19/2014,183525,184450,182350,182525,1129658,0
02/20/2014,181975,184025,181750,183625,1028446,0
02/21/2014,184225,184375,183275,183425,869707,0
02/23/2014,183650,183650,182925,183025,18288,0
02/24/2014,183325,185675,183250,184450,931792,0
02/25/2014,184525,185075,183750,184750,1049436,0
02/26/2014,185150,185325,183800,184425,957249,0
02/27/2014,183350,185575,183325,185150,1016695,0
02/28/2014,185250,186650,184550,186075,1136468,0
03/03/2014,184300,184925,183225,184325,1154975,0
03/04/2014,184625,187475,184625,187150,1078353,0
03/05/2014,187100,187550,186775,187225,857474,0
03/06/2014,187500,188100,187325,187650,883126,0
03/07/2014,187950,188750,186925,187775,1054060,0
