"date","tstmp","pred_dir","SAR_SIG","RANGE","SAR2SIG","WRANGE","CSAR","CSAR_SIG","port","sig_dur","mtm","sr1","sr2","sr3","lag_sr1","lag_sr2","lag_sr3","fd1","fd2","fd3","open","close"
20130115,1040,0,2,75,2,5625,98.67,1,0,0,0,-0.748175628,-0.722562765,-0.778651867,-0.937163942,0.826964019,-0.888078041,-0.80444603,-0.724225045,-0.677055094,50,-50
20130115,1041,0,2,0,2,0,96.5,1,0,0,0,-0.737284096,-0.723326544,-0.782520735,-0.904796311,0.821158182,-0.919989819,-0.773052226,-0.720645287,-0.67392149,50,-50
20130115,1042,0,2,-50,1,-3750,0,0,0,0,0,-0.747189458,-0.725011116,-0.615866961,-0.902308628,0.898652973,-0.922974104,-0.681965522,-0.552048558,-0.622306627,100,75
20130115,1043,0,2,25,1,1250,0,0,0,0,0,-0.755608732,-0.73282621,-0.67732415,-0.913970063,0.895608751,-0.915314004,-0.714953198,-0.651764549,-0.656787397,75,50
20130115,1044,0,2,50,2,2500,84.017342,1,0,0,0,-0.743081384,-0.740902131,-0.787093614,-0.910991239,0.817933008,-0.91878212,-0.714519405,-0.720367671,-0.677996189,25,25
20130115,1045,0,2,0,2,0,80.4968217,1,0,0,0,-0.740792702,-0.73633438,-0.789436266,-0.918889573,0.812705467,-0.926993088,-0.768031135,-0.720511938,-0.675548835,25,25
20130115,1046,0,2,25,2,1250,93.2669489,1,0,0,0,-0.732684341,-0.734415966,-0.791975684,-0.885380454,0.803131009,-0.926821442,-0.752912677,-0.722666732,-0.677452806,0,-50
20130115,1047,0,2,0,2,0,102.807971,1,0,0,0,-0.737056347,-0.74164015,-0.792914842,-0.90310646,0.810145857,-0.929356743,-0.762545439,-0.713026865,-0.669897082,0,-50
20130115,1048,0,2,-50,2,-2500,109.711163,1,0,0,0,-0.718299125,-0.743402092,-0.78506102,-0.841015629,0.836304904,-0.92579189,0.54082924,-0.651494087,-0.659156948,50,25
20130115,1049,0,2,25,2,625,114.465591,1,0,0,0,-0.740405509,-0.749934144,-0.785968009,-0.917714469,0.834064284,-0.932314987,-0.714695246,-0.681341969,-0.667519369,25,-25
20130115,1050,0,2,0,1,0,0,0,0,0,0,-0.747051918,-0.740428351,-0.739323686,-0.955817202,0.888146188,-0.928976826,-0.685097177,-0.646634786,-0.656437201,50,50
20130115,1051,0,2,0,1,0,0,0,0,0,0,-0.744721009,-0.735980429,-0.748418359,-0.935057296,0.89355869,-0.922875624,-0.628357839,-0.611559794,-0.658595126,50,50
20130115,1052,0,2,50,2,2500,102.917174,1,0,0,0,-0.738641992,-0.741269865,-0.787948466,-0.933296186,0.827619448,-0.918161312,-0.728976996,-0.706477153,-0.673662868,0,-25
20130115,1053,0,2,0,1,0,0,0,0,0,0,-0.747070499,-0.71756478,-0.737380325,-0.956762487,0.886237081,-0.903992015,-0.791347088,-0.686058812,-0.660581059,25,-25
20130115,1054,0,2,0,2,0,90.9284671,1,0,0,0,-0.738107615,-0.748825865,-0.780930744,-0.942814271,0.868163302,-0.920017262,-0.626617714,-0.631872368,-0.641938783,25,50
20130115,1055,0,2,-25,1,-1250,0,0,0,0,0,-0.742022254,-0.712868966,-0.696071479,-0.91747776,0.900533148,-0.87674491,-0.619422326,-0.575549108,-0.63877653,50,75
20130115,1056,0,2,75,2,7500,76.026762,1,0,0,0,-0.73691028,-0.714027015,-0.776956144,-0.939624706,0.837012564,-0.897738721,-0.806291441,-0.715896277,-0.676130698,-25,25
20130115,1057,0,2,-25,2,-625,67.2254239,1,0,0,0,-0.709031473,-0.713149222,-0.781248161,-0.89363592,0.837751713,-0.910227321,-0.601401178,-0.699490494,-0.668767919,0,50
20130115,1058,0,2,50,2,5000,79.6918985,1,0,0,0,-0.721277436,-0.702027869,-0.786109414,-0.861474557,0.8117815,-0.902568874,-0.739551214,-0.72303202,-0.678758302,-50,-25
20130115,1059,0,2,-25,2,-625,88.6053846,1,0,0,0,-0.712502048,-0.703713647,-0.784778402,-0.877460221,0.820779256,-0.916038194,-0.553347979,-0.702319703,-0.670804478,-25,25
